transaction_id,sender_id,receiver_id,amount,timestamp
241133,9634,9662,136.67,2022-01-02 13:00:00
1160209,5007,9951,13.39,2022-01-08 07:00:00
1091286,8789,9995,182.41,2022-01-07 21:00:00
631185,5669,9698,4.74,2022-01-05 00:00:00
274927,5035,9833,18.54,2022-01-02 18:00:00
1088854,8495,5261,419.52,2022-01-07 20:00:00
818795,2135,9744,17.84,2022-01-06 04:00:00
329990,7776,8603,178.13,2022-01-03 02:00:00
1287039,9995,3085,394.35,2022-01-09 02:00:00
665439,9769,6287,191.19,2022-01-05 05:00:00
404111,2398,8215,17.36,2022-01-03 13:00:00
1128331,6156,9658,11.69,2022-01-08 02:00:00
1058923,2690,4123,106.8,2022-01-07 16:00:00
355070,8735,6701,185.41,2022-01-03 06:00:00
989749,2170,6646,24.71,2022-01-07 05:00:00
148044,9061,7093,7.87,2022-01-01 23:00:00
1147295,9429,8475,471.07,2022-01-08 05:00:00
368976,4315,3220,37744.34,2022-01-03 08:00:00
1168066,9795,9943,146.25,2022-01-08 08:00:00
599881,1656,9851,122.4,2022-01-04 19:00:00
483139,485,9477,587.15,2022-01-04 01:00:00
720088,8462,9008,528.09,2022-01-05 13:00:00
781666,5094,9462,18.73,2022-01-05 22:00:00
634994,2095,4429,30.51,2022-01-05 00:00:00
143027,5578,113,2.94,2022-01-01 22:00:00
1277572,6161,9798,13.6,2022-01-09 01:00:00
430217,8451,8695,529.2,2022-01-03 17:00:00
943382,9677,9542,149.38,2022-01-06 22:00:00
112636,3690,9993,111.87,2022-01-01 17:00:00
361896,8793,1515,185.94,2022-01-03 07:00:00
822608,1368,9809,14.63,2022-01-06 04:00:00
1092975,2561,9444,494.17,2022-01-07 21:00:00
533145,1435,9188,494.54,2022-01-04 09:00:00
1107511,3529,2425,557.89,2022-01-07 23:00:00
353008,4564,6045,550.5,2022-01-03 05:00:00
944787,9622,9139,147.66,2022-01-06 23:00:00
566365,5662,7099,3.55,2022-01-04 14:00:00
1232573,9999,5351,10.35,2022-01-08 18:00:00
205988,7120,9927,15.71,2022-01-02 07:00:00
153502,9790,5450,138.44,2022-01-01 23:00:00
74365,1756,9760,199.52,2022-01-01 11:00:00
342299,3586,3208,507.79,2022-01-03 04:00:00
1122340,5776,9844,197.52,2022-01-08 01:00:00
1048937,2584,9377,537.44,2022-01-07 14:00:00
179011,5762,5968,108.55,2022-01-02 03:00:00
992747,1784,8957,182.82,2022-01-07 06:00:00
118239,6285,9685,3.13,2022-01-01 18:00:00
990810,5559,5693,568.89,2022-01-07 06:00:00
297659,5751,9829,4.54,2022-01-02 21:00:00
627756,4010,8078,24.49,2022-01-04 23:00:00
1216692,5784,7300,122.31,2022-01-08 16:00:00
1084286,3347,9595,3.56,2022-01-07 20:00:00
771558,6757,3742,110.11,2022-01-05 21:00:00
526348,2622,351,131.25,2022-01-04 08:00:00
776236,7435,9894,586.45,2022-01-05 21:00:00
657742,8652,2678,141.28,2022-01-05 04:00:00
898618,9795,9661,146.25,2022-01-06 16:00:00
824190,7423,8399,572.5,2022-01-06 04:00:00
217411,1427,9133,466.91,2022-01-02 09:00:00
644190,2489,6670,503.55,2022-01-05 02:00:00
11120,5520,9188,535.7,2022-01-01 02:00:00
209776,4532,9197,4.58,2022-01-02 08:00:00
928431,9715,2318,101.62,2022-01-06 20:00:00
358620,1189,5793,31.25,2022-01-03 06:00:00
679403,2801,9964,389.5,2022-01-05 07:00:00
720673,6772,7485,15.15,2022-01-05 13:00:00
600090,9768,4770,161.94,2022-01-04 19:00:00
877148,6513,2667,469.16,2022-01-06 12:00:00
714035,712,9815,195.64,2022-01-05 12:00:00
1034874,8612,5577,122.63,2022-01-07 12:00:00
530266,7652,4994,150.21,2022-01-04 08:00:00
1319744,2584,9377,537.44,2022-01-09 07:00:00
1213062,2051,9805,24.7,2022-01-08 15:00:00
84690,8400,7056,498.92,2022-01-01 13:00:00
267022,7667,9671,141.57,2022-01-02 17:00:00
1302425,7530,5341,575.4,2022-01-09 04:00:00
271348,6559,2768,468.88,2022-01-02 17:00:00
213327,7157,8801,9.51,2022-01-02 08:00:00
1077913,6425,573,444.57,2022-01-07 19:00:00
328518,7638,9753,110.5,2022-01-03 02:00:00
1310053,9409,8432,567.46,2022-01-09 06:00:00
1112486,5166,9885,17.35,2022-01-08 00:00:00
136199,4196,9967,16.31,2022-01-01 21:00:00
757229,7746,4835,171.88,2022-01-05 18:00:00
970934,7138,9041,13.85,2022-01-07 03:00:00
1289793,8080,1656,13.13,2022-01-09 02:00:00
802659,6639,1064,183.0,2022-01-06 01:00:00
611300,9197,9885,6.8,2022-01-04 20:00:00
1098853,5015,1150,12.17,2022-01-07 22:00:00
983583,9117,5718,7.47,2022-01-07 05:00:00
333095,3225,9079,10999.29,2022-01-03 02:00:00
712994,9652,5758,111.47,2022-01-05 12:00:00
339417,5222,9713,102810.75,2022-01-03 03:00:00
218761,6057,4006,15.55,2022-01-02 09:00:00
381232,3635,8658,159.82,2022-01-03 10:00:00
653106,9812,9389,236.88,2022-01-05 03:00:00
1101828,5402,2239,529.21,2022-01-07 22:00:00
1201266,9992,8534,225.11,2022-01-08 13:00:00
735310,7732,8372,195.63,2022-01-05 15:00:00
449969,9467,9961,433.57,2022-01-03 20:00:00
1081422,3078,9882,18.17,2022-01-07 19:00:00
74796,9647,7462,172.64,2022-01-01 12:00:00
1130590,7127,6627,4.51,2022-01-08 03:00:00
898199,4516,9971,523.79,2022-01-06 16:00:00
577239,9944,6474,248.17,2022-01-04 15:00:00
25645,1521,9866,500.44,2022-01-01 04:00:00
942800,9426,9564,473.32,2022-01-06 22:00:00
463757,7107,8074,13.14,2022-01-03 22:00:00
995515,1417,8266,481.0,2022-01-07 06:00:00
845149,9736,6038,141.24,2022-01-06 08:00:00
650346,9971,9981,356.47,2022-01-05 02:00:00
1010258,9112,3205,9.26,2022-01-07 08:00:00
477482,4416,7682,467.58,2022-01-04 00:00:00
704459,9753,2968,164.69,2022-01-05 11:00:00
1314786,9623,7413,4.1,2022-01-09 06:00:00
620988,9776,7380,114.16,2022-01-04 22:00:00
724617,6473,9993,578.95,2022-01-05 14:00:00
1063096,5658,8247,189.5,2022-01-07 16:00:00
734488,4679,9956,197.6,2022-01-05 15:00:00
1150324,7640,9312,116.65,2022-01-08 05:00:00
420232,5641,8834,141.36,2022-01-03 15:00:00
899566,5578,9892,500.26,2022-01-06 16:00:00
614762,5560,7770,427.3,2022-01-04 21:00:00
131370,9575,9983,555.5,2022-01-01 20:00:00
829907,9018,7095,5.2,2022-01-06 05:00:00
